"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.304290771E0,2.541961670E-1,9.736221313E0,8.440246582E-1,9.776042082E0
1.309265137E0,2.254791260E-1,9.705093384E0,9.589538574E-1,9.754961349E0
1.314239502E0,2.709655762E-1,9.623703003E0,1.059509277E0,9.685641008E0
1.319213867E0,2.374420166E-1,9.566238403E0,1.033172607E0,9.624798260E0
1.324188232E0,2.135009766E-1,9.539901733E0,9.350128174E-1,9.587990234E0
1.329162598E0,2.470245361E-1,9.484832764E0,8.416290283E-1,9.525303832E0
1.334136963E0,2.254791260E-1,9.568634033E0,8.272705078E-1,9.606975309E0
1.339141846E0,1.392822266E-1,9.561447144E0,8.536071777E-1,9.600485208E0
1.344116211E0,1.560363770E-1,9.561447144E0,8.871154785E-1,9.603780126E0
1.349090576E0,1.680145264E-1,9.554260254E0,8.488159180E-1,9.593362619E0
1.354064941E0,1.799774170E-1,9.573425293E0,8.440246582E-1,9.612244344E0
1.359039307E0,2.470245361E-1,9.556655884E0,9.302215576E-1,9.604998956E0
1.364013672E0,2.733612061E-1,9.542297363E0,9.613494873E-1,9.594496243E0
1.368988037E0,3.260345459E-1,9.566238403E0,1.021194458E0,9.626113122E0
1.373962402E0,2.925109863E-1,9.563842773E0,1.119354248E0,9.633566588E0
1.378967285E0,3.284301758E-1,9.527923584E0,1.112182617E0,9.598236524E0
1.383941650E0,2.925109863E-1,9.571029663E0,9.397888184E-1,9.621505834E0
1.388916015E0,2.853240967E-1,9.602157593E0,7.674102783E-1,9.636999471E0
1.393890381E0,3.499755859E-1,9.592575073E0,8.009338379E-1,9.632314076E0
1.398864746E0,3.499755859E-1,9.599761963E0,7.793884277E-1,9.637705068E0
1.403839111E0,3.451843262E-1,9.654815674E0,7.386779785E-1,9.689182787E0
1.408813476E0,3.475799561E-1,9.697921753E0,8.176879883E-1,9.738537457E0
1.413787842E0,3.739166260E-1,9.745803833E0,7.985382080E-1,9.785610316E0
1.418762207E0,3.643341064E-1,9.741012573E0,8.248748779E-1,9.782662412E0
1.423736572E0,3.260345459E-1,9.712280273E0,8.368377686E-1,9.753716424E0
1.428741455E0,2.781524658E-1,9.757766724E0,8.631744385E-1,9.799818893E0
1.433715820E0,2.374420166E-1,9.717071533E0,9.134521484E-1,9.762799430E0
1.438690185E0,2.111053467E-1,9.719467163E0,9.996490479E-1,9.773019268E0
1.443664551E0,2.422332764E-1,9.733825684E0,1.023590088E0,9.790494169E0
1.448638916E0,2.637786865E-1,9.733825684E0,1.006835938E0,9.789313573E0
1.453613281E0,3.451843262E-1,9.757766724E0,9.757080078E-1,9.812500689E0
1.458587646E0,3.691253662E-1,9.709884644E0,9.397888184E-1,9.762239310E0
1.463562012E0,3.643341064E-1,9.676376343E0,9.038848877E-1,9.725328085E0
1.468536377E0,3.523712158E-1,9.609329224E0,8.440246582E-1,9.652758737E0
1.473541260E0,2.853240967E-1,9.606933594E0,7.745971680E-1,9.642332897E0
1.478515625E0,2.230834961E-1,9.614120483E0,7.099456787E-1,9.642878293E0
1.483489990E0,2.278594971E-1,9.630874634E0,7.722015381E-1,9.664469017E0
1.488464355E0,2.063140869E-1,9.635665894E0,8.895111084E-1,9.678835298E0
1.493438721E0,2.278594971E-1,9.669189453E0,9.852905273E-1,9.721930984E0
1.498413086E0,1.584320068E-1,9.628479004E0,9.493713379E-1,9.676467050E0
1.503387451E0,6.027221680E-2,9.544692993E0,9.733123779E-1,9.594380337E0
1.508361816E0,2.914428711E-2,9.487228394E0,1.076263428E0,9.548125206E0
1.513336182E0,7.598876953E-3,9.477645874E0,1.188796997E0,9.551914329E0
1.518341064E0,2.197265625E-2,9.489624023E0,1.140914917E0,9.557987955E0
1.523315430E0,5.787658691E-2,9.458496094E0,1.116973877E0,9.524396500E0
1.528289795E0,8.421325684E-2,9.480041504E0,1.061904907E0,9.539702344E0
1.533264160E0,8.181762695E-2,9.456100464E0,1.069076538E0,9.516693478E0
1.538238525E0,6.985473633E-2,9.446533203E0,1.061904907E0,9.506287986E0
1.543212890E0,5.203247070E-3,9.436950684E0,1.035568237E0,9.493601364E0
1.548187256E0,-9.155273438E-3,9.527923584E0,1.104995728E0,9.591789572E0
1.553161621E0,4.591369629E-2,9.559051514E0,1.124145508E0,9.625033872E0
1.558135986E0,3.153991699E-2,9.580596924E0,1.097808838E0,9.643340522E0
1.563110351E0,2.674865723E-2,9.635665894E0,1.097808838E0,9.698038820E0
1.568115234E0,6.745910645E-2,9.580596924E0,1.025985718E0,9.635612842E0
1.573089599E0,7.225036621E-2,9.609329224E0,9.661254883E-1,9.658044662E0
1.578063965E0,5.068969727E-2,9.707489014E0,1.023590088E0,9.761436834E0
1.583038330E0,1.344909668E-1,9.808044434E0,9.972534180E-1,9.859530304E0
1.588012695E0,1.560363770E-1,9.851150513E0,1.004440308E0,9.903454655E0
